kode_produk,nama_produk,harga_rupiah,stok,kategori,last_updated
"PRD00001","kaos olahraga",58080,"231","pakian","29 Sep 2024"
"PRD00002","kaos olahraga",45000,"","PAKAIAN","2025/02/17"
"PRD00003","sweater rajut",480,"291","PAKAIAN","01/10/2025 07:49"
"PRD00004","sarung tangan  bayi",75000,"163","pakian","2025-12-04 12:46:00"
"PRD00005","blouse wanita",459000,"16","pakian","1769496240"
"PRD00006","sarung tangan bayi",99040,"","clothes","1734625440"
"PRD00007","blouse wanita",173000,"","pakaian","12-04-2023"
"PRD00008","KEMEJA SEKOLAH",209000,"118","clothes","07-18-2024"
"PRD00009","baju anak laki-laki",358000,"172","pakaian","11-26-2023"
"PRD00010","kaos olahraga",276000,"164","PAKAIAN","1698268560"
"PRD00011","BaJu Bayi",0,"79","clothes","10-18-2023"
"PRD00012","jaket hoodie",268000,"95","pakaian","2025-08-18 12:53:00"
"PRD00013","KEMEJA  SEKOLAH",0,"219","PAKAIAN","09/11/2024 01:58"
"PRD00014","celana jeans pria",28000,"41","clothes","13/06/2025 01:07"
"PRD00015","BaJu Bayi",0,"139","PAKAIAN","22/09/2025 23:31"
"PRD00016","sweater rajut",181000,"11","pakian","12/11/2025 11:43"
"PRD00017","rok anak",197000,"87","pakaian","28/01/2026 04:15"
"PRD00018","topi sekolah",254000,"123","pakaian","2025/07/17"
"PRD00019","sweater  rajut",244000,"206","PAKAIAN","12-04-2023"
"PRD00020","dress  pesta",231000,"263","PAKAIAN","16 Apr 2023"
"PRD00021","topi sekolah",131000,"100","PAKAIAN","1681196640"
"PRD00022","BaJu Bayi",113000,"50","PAKAIAN","2023-09-05 19:22:00"
"PRD00023","kaos olahraga",0,"196","clothes","2023/03/08"
"PRD00024","KEMEJA SEKOLAH",496000,"179","PAKAIAN","19 Dec 2023"
"PRD00025","sweater  rajut",204000,"209","PAKAIAN","2023/04/23"
"PRD00026","BaJu Bayi",302000,"75","PAKAIAN","2023/12/16"
"PRD00027","sepatu casual",0,"179","PAKAIAN","01-30-2025"
"PRD00028","sweater rajut",60,"248","pakaian","1769201580"
"PRD00029","BaJu  Bayi",167000,"251","pakian","06-09-2024"
"PRD00030","sarung tangan  bayi",497000,"271","clothes","14 Aug 2025"
"PRD00031","jaket hoodie",229000,"36","pakaian","08-01-2025"
"PRD00032","BAJU ANAK PEREMPUAN",292000,"140","clothes","1695020820"
"PRD00033","dress  pesta",436000,"291","pakaian","14 Aug 2025"
"PRD00034","piyama anak",304000,"41","clothes","05-22-2023"
"PRD00035","kaos olahraga",112000,"60","PAKAIAN","2025-04-03 20:57:00"
"PRD00036","BaJu Bayi",0,"30","pakian","1680338760"
